,Responses,Final Score
12,"I believe that conventional farming is more beneficial to the environment than organic farming, but both methods carry many pros and cons. Even though organic farming minimizes chemical usage by using natural farming methods, improves soil health and promotes biodiversity, it is more expensive and a smaller crop yield is produced. Conventional farming practices utilize chemicals and pesticides to maintain weed and pest control. They also as use GMOs to produce a mass crop yield of produce that has been modified to improve nutrient value, taste, and texture. Conventional farming has worked for many years and seems like the best solution to provide produce for the world's growing population. ",30
13,"I think that it would depend on where the organic food is coming from because some organic food may contain more chemicals and pesticides in them than non organic food. However, some farmers use less pesticides on their organic food so their is left pesticide left over. Organic food should be a good choice it is just important to think about the factors and watch what exactly is being eaten. It is also important to keep your location in mind when getting food that might be out of season, or out of the country.",25
14,"I would say organic farming is the better option because it is best for the environment in the long run. Although it may not be as efficient and inexpensive as other methods, it keeps the land healthier for further use.",25
15,"Based on what I heard in the video , I would suggest for a friend to take part in Meatless Mondays or if she does choose to eat meat everyday , make sure they are from a farm and she knows where the animal was raised.",0
16,Conventional farming because it can keep up with the population and doesn't use as much pesticide needed in organic farming. It's hard to sustain organic farming because you have to put more effort into it ,20
17,"I would tell them I wouls agree most with managing our resources in a way that would be the easiest for our earth to handle, this would ensure food for all of the 7 billion people and an earth that can be sustained over time. ",0
18,"I do not believe organic farming is the best because it is more expensive to produce product, making the product more expensive.",20
19,"i would tell my friends that although organic farming may sound better for the environment and its consumers, in reality it is not. organic farming is said to use no pesticides and be better for the environment. while what conventional farming is the way to go. although conventional farms may use pesticides, they are not hurting the environment any more than it has been. in fact they are adapting ways to conserve the soil and protect the land.",25
20,i believe not eating organic all the time is the best way to go because there is less waste due to not as many bugs damaging food and that also means less forests and land being cleared to farm.,20
21,Eating organic is a better option because it has less health risks then non organic food. ,15
22,I believe conventional farming is better than organic because organic food is a luxury the world cannot afford right now,10
23,I think conventional farming with organic farming aspects is the best option.,0
24,Choice 1 seems the most logical,10
25,Organic farming because it seems like a healthier alternative.,15
26,I would tell them to choose organic foods because although it may not be healthier it is most likely safer,15
27,I would tell my friends that organic farming sounds better but has just as many cons - give or take a few - as conventional farming. So choose to eat whatever you want.,5
28,"I think the best option is sustainable farming because I think it is better for the environment.  It takes up less land and produces less methane in the air.  I think sustainable farming will help the earth last longer, less methane means the slower the temperature will rise and by not needing as much land we would not have to cut down more trees which means more oxygen.  No where in the video did i hear it mention that organic food has been proven to be better, I think they are equal in nutrition and sustainable farming is the way to go.    ",20
29,"I think that organic food is better. Even though it might be more expensive in some cases, I think it's much better to not have harmful chemicals in our food.",20
30,I would say organic foods because with these kinds of foods you are not ingesting harsh chemicals. I would tell them it was worth spending more money because eating healthy makes a difference.,15
31,Meat based because it tastes better.,0
32,organic farming because there are more jobs,15
33,organic farming is the best choice because no chemicals are used and there are no risks or concerns of getting contaminations. It is also better for you and the environment because of this.,20
34,"I would tell my friends that organic farming might sound appealing at first, but in truth, it is a luxury we as a planet can't afford right now. It is proven that organic farming reacquires a lot more water than regular farming methods utilize. For example, organic milk will take up 80% more land. As stated before, organic products take more water and as droughts become more regular today, it is a resource that we can't waste. Furthermore, organic farming also it makes it difficult for farmers to keep control of the mineral content in the soil because manure is used (pungent odor). If someone was to farm organically, that would mean having to weed crops by hand one at a time. It's not only time consuming, but labor intensive. It said that the food produced by organic farmers is ‰ÛÏa healthier product‰Û, but organic is just another word for expensive. In conclusion, the main question here is, does organic farming have the power to sustain a population of 7.5 billion? The answer is no. Hence, organic farming is not the perfect solution. 

",25
35,"I think that the word organic makes people think it is better, when in reality it isn't ideal. ",10
36,I would tell my friends to eat organic foods because they are free of any antibiotics as well as any growth hormones ,20
37,"In an ideal society, we would be all organic, but knowing the amount of land and resources required to produce organic foods, I think conventional farming is the smarter of the 2.",20
38,"Organic farming is healthier! it it the better option- you feel more at peace knowing your food is made in a natural way. For example, not many people know the exact list of pesticides being used during the farming process, and these could be toxic to our bodies. ",15
39,Eating organic is the best choice because it is pure.,15
40,"i would tell my friends about weeding. Even though it requires the most labor, this allows people to have jobs. It also doesn't involve chemicals. I feel like it has the most positive outcomes. ",15
41,"I would say that because both can have damaging effects on the environment, we should try and use some organic practices in conventional farming.",10
42,"Organic food production is a sustainable and environmentally friendly option. When consuming organic foods, we can be assured that in production there was no use of fertilizers, pesticides, antibiotics, or hormones. Instead, methods are used such as biological pest management, composting, manure applications, and crop rotations. These methods also promote the use of a sustainable agriculture system to provide a secure living farm for families, maintain the natural environment and resources, support the rural community, and offer fair fair treatment and respect to those involved. Other benefits of consuming organic foods include possibly higher nutritional benefits such as more vitamins, minerals, and antioxidants. These foods are not necessarily healthier than non organic foods, however they may provide added health benefits and provide a more environmentally and socioeconomically friendly alternative for food production.",30
43,I think organic is the best since if you want to live long and naturally than organic is the best,10
44,"Granted there is more work in organic farming, I believe that it is the better option. There is a larger start up fee in organic farming but in the long run it leaves you with healthier soil which over time will be more beneficial with the growing process, and better tasting more nutritious products.",25
45,"Conventional foods seem to be the more ideal way to eat. Although they are still using pesticides and other harmful chemicals, organic foods do to. They just use a lower dosage or different types of chemicals. You can even say they have loop-hole. Organic foods aren't keeping up with the demanding growth in population, and they are also creating more methane distribution. On top of that they are required to use more land and more water for smaller amounts of portions. Is it even worth the damage to go organic? Is it even considered organic if they are still using chemicals in the food? ",30
46,"eating organic foods is the best option because it is healthier and more regulated

",15
47,"I would tell them to go organic, because it can be the healthier and safer option. usually eating organic can mean supporting a local farmer also. ",20
48,"Eating organic food is a good lifestyle change to make, but it is not something that needs to be done in order to be healthy. ",0
49,"I would tell my friend the best option is organic farming. Organic farming builds healthy soil, food is loaded with nutrients, food has a natural and better taste, there is a direct support to farming, and avoids the consumption of a lot of harmful chemicals. ",25
50,"Despite the possible larger carbon footprint that organic dairy farming can give off, I would suggest buying organic. The debate is still going on whether or not the food is more healthy, but these farmers are putting in more effort and time to try and help the environment and provide you with more fresh and healthy food. I would suggest trying to find organic produce that does not use artificial fertilizers and pesticides. ",15
51,I would tell a friend that organic farming is the best option because it does not involve using chemical pesticides which may be harmful.,15
52,Organic foods are good as they contain less pesticides and are usually locally grown. ,20
53,"I would tell my friends to choose the non organic option because to me, it is the better option. Although organic foods are healthier and better for someone, and gives more job opportunities, in the long run, the non organic foods are better for the environment. There is not enough space to grow the organic foods on the earth, especially with the growing population. If we were to make more room for organic farms, we would have to cut down rain forests or something along the lines, which is environmentally bad.  ",30
54,Organic farming is probably better than the two because it is better for consumers even though it is more expensive. ,20
55,"Based on the information in the video, I would encourage my friends to eat more non-organic food, because while organic foods are theoretically better for the environment and our bodies, it still has negative environmental affects, such as its need for more land, which can lead to deforestation. Also, organic foods can still contain pesticides, which pretty much defeat the purpose of being organic. ",30
56,"I would tell people that organic farming is the best because it is healthier for the earth, but also produces healthier food since there are no pesticides.

",20
57,"The best option is not going through organic farming. I feel this way because yes it is a good idea in theory but it cannot possibly sustain the 7.5 billion people on this earth because it requires too much land for not much product. For instance, the video was saying that organic milk requires 80% more land than regular milk and there is not nearly as much. ",15
58,conventional farming is less expensive and it wont cause drought and an excess of methane gas,25
59,In my opinion conventional farming because based on the videos you pay more for organic foods when really their farming process is only slightly better than conventional farmed foods.,15
60,I will personally eat organic and I will tell my friends too because it is more natural and safer.,10
61,Being organic is always the best option. Better for humans and better for the environment. ,15
62,Conventional farming is better than organic because it is more affordable and both organic and conventional use pesticides so there is not too much of a difference. If all farms were organic there would not be enough product to support the population due to the fact that organic farming uses more land therefore conventional farming is necessary. Scientists are also still debating whether or not organic is healthier for you therefore as of right now there is no proof that organic is healthier than conventional. ,25
63,"Although hearing the word ""organic"" makes a lot of people want to turn to eating all organic, I would tell my friends that the better option is not to eat organic. Although there may be added preservatives and pesticides, the food that is being sold is still safe. Creating an all organic farms presents more greenhouse gases from the methane produced from the cows, and uses a lot more water supply than non organic foods. Although they both have their pros and cons, I would say that eating non organic is definitely not a bad thing, and would help little by little save our environment.",20
64,I think the mix of conventional and organic farming is the best. It will help use as little land as possible while still protecting biodiversity and soil composition.,15
65,Organic because it is healthier.,15
66,I would tell a friend that organic farming is the best option because it is more sustainable. Organic farming does not use pesticides and is natural. The only issue is that farmers do not know what nutrients are in some compost and manure and how these nutrients will benefit their crops. Organic farming is less harmful for the environment because chemicals are not used.,25
67,"based on the videos i wold tell my friends that although it is more expensive, in the long run, eating organically is a good choice.",15
68,Organic would be the best choice because it's better for you as foods are grown without the antibiotics and pesticides.,20
69,I like the idea of organic farms because they produce a lot of jobs due to weeding and appear to be great for the environment. ,20
70,"Although it seems there are more cons than pros in organic farming, I would tell my friend that it is still the best option for our environment. It is a lot of hard work and labor, but ideas can be exchanged and projects can be made in order to make it less of a struggle. I believe that if more individuals were educated on it, more possibilities and alternatives can me formed. Organic farming helps our biodiversity, environment, and makes products that are healthier. In my opinion, that outweighs the cons. ",25
71,"Conventional farming is the best option because there is no proven evidence that organic foods are better for you. Also, the population is high, therefore more food must be made to feed the consistently growing population. Conventional farming takes 80% less water and less land to grow the same amount of organic food. ",20
72,The best option is be an open minded thinker.,0
73,conventional because it uses up less land and resources. Organic can use unnatural pesticides as well so there isn't much benefit. It also causes global warming to increase and take up more ecological footprint.,20
74,"I think non-organic foods are the best option because as mentioned in the video, the sustainable population of the world is 2 billion, and right now the worlds population in 7.5 billion. Non-organic farming yields more crops than organic farming, which only uses about 1% of all land on the planet. I believe non-organic farming is a better way to feed the worlds population, although it may be a little less healthy. I do agree with the fact that organic farming uses limited pesticides and other chemicals, however, because it uses less chemicals, the yield is less which does not feed as many people. The goal of farming is to produce foods that can be used to feed large populations so, I believe it is smarter to use the method that produces more food than the method that produces ""better"" food. ",20
75,"I would tell my friends that the best choice would be conventional just because it lends itself to more yields, but to look for conventional products that employed some organic methods.",15
76,"I think that organic food choices are the best. This is because they are pesticide free. A lot of organic food choices tend to be healthier for you, and alot of unorganic foods can cause cancer. ",20
77,"I would tell my friends that organic farms are not all they are talked up to be. Organic farms are made to look healthier and all natural, when in reality they are allowed to use pesticides as well as conventional farms. Some organic farms even allow more chemicals than a conventional farm. I believe both organic farm and conventional farms work well, but when thinking about it, conventional farms may be better for the environment, seeing as though conventional cows produce less methane than organic. ",20
78,organic foods are a luxury the world cannot afford to provide if for no other reason than the amount of land it takes,15
79,"I would tell them that although organic foods are processed without preservatives or additives, the amount of energy required to produce organic foods may come at a higher cost to our environment. ",20
80,"I would tell them that the best choice is organic because it maintains biodiversity, has no chemicals in it, and far less pesticides compared to conventional food options. ",25
81,"I would tell my friends to be aware of what you are eating, not necessarily to go 100% organic or conventional. ",0
82,I would tell my friends that the best option is to eat conventional. This is because it is a less expensive diet.  It also maintains biodiversity and has lower yields.  I can see why to go organic but the cons out weight its pros.,30
84,I personally eat organic and from places such as whole foods. I would honestly tell my friends that the best decision is to eat organic as there are fewer chemicals (making it healthier) and maintains biodiversity. ,20
85,"to eat meat

",10
87,"Organic is best, however remain within your own budget.",15
88,"I would say that organic foods should be what everyone aims to eat because it contains less harmful chemicals and other things that conventional food has. Also, that it benefits the farmers and our agricultural system. ",15
89,"I would tell my friends to go organic because there are no chemicals, less pesticides and it also maintains biodiversity among other reasons. Buying organic might not be an option or an option 100% of the time because can be expensive and if it is a meat product like beef, it was more harmful to the environment before processing. Organic can be healthier but it does have its pros and cons.",35
90,organic because its healthier and better for the enviroment,20
91,I would say organic is the better decision because it is healthier.,15
92,Organic because it is much better for us to consume and free of GMOs and chemical pesticides ,25
93,"Go organic because of chemicals, pesticides and biodiversity.",25
94,"I would choose organic foods, even though they are more expensive there are a lot of reasons why they are the better option. Less chemicals and pesticides are used on organic foods. Therefore the environment around the farms are not effected or altered due to these chemicals. Also, usually when you buy organic foods they come from farms that are more local than if you bought inorganic foods. This way you are supporting the local economy.",30
95,"My choice would be organic because there is less pesticides even though there can be some, and no chemicals ",25
96,I think that we should stay how we are eating because although organic food has less chemicals it is more expensive and is not practical for a college student budget.,25
97,Organic because it is better for the environment ,15
98,"I would tell my friends that although there is controversy, organic food is the best option. This food maintains biodiversity, contains less pesticides and has no chemicals. This can all impact the body in a very positive way.",25
99,I would tell my friend that ultimately it is her decision to make but i would advise her to not eat all organic foods unless she was going to cover the cost of her groceries all on her own. Having everyone split the bill when all of her items were the most expensive would not really be fair to the other two roommates.,15
100,"Even though organic foods may be expensive, the reason people prefer them because it has no chemical residues and less pesticides as well. ",20
101,"Organic, because its better for you.",10
102,I think organic because you know where it comes from. Also organic foods are all natural and have no chemicals in the food like some of the food that is conventional. It may be expensive but it is the healthier alternative.,30
103,"For the college atmosphere I would choose inorganic, but in a general life situation I would push going organic with my friends. It leads to a healthier life, and, although you have to do a little more work for it, will be more beneficial in the long run.",25
104,"organic, because it's better for you as well as the planet. I know it's more expensive, but the outcomes are worth it.  ",25
105,"Conventional because it's cheaper and there isn't a difference in the foods nutritional value and it's not ""better for you"".",20
106,"I would think that organic is the best option because even though it is more expensive, it will still be beneficial for your healthy diet. ",20
107,"I would suggest buying more organic produce however, i would still be open to and understand the other roommate's desire to buy conventional foods. ",15
108,"I would tell my friends to buy organic because there are no chemicals and less pesticides, and even though it may be a bit more expensive, if it is healthier for your body, it is worth it",30
109,"Organic because we have to be careful what we put into our bodies, and organic food has no chemicals that can hurt us. Plus, it is better for the environment.",20
110,"organic, its healthier for you.",15
111,I would say for our purposes conventional is best simply because organic does not mean healthier and the amount of pesticides present on these foods has not been said to be bad for health in any way.,20
112,Organic is best because its not only better for your health but for the environment as well,20
113,"organic, because it is is better for the environment in the long run. Less pesticides, no chemicals, and maintenance of biodiversity are all important factors to keep growing food for years to come. ",25
114,"Organic, it may cost more but it is much better for your body and the environment. ",25
115,"I would tell her to eat organic food a couple of times a week. Even though they are pricey, it is better for the environments because it uses less pesticides. ",25
116,I would tell my friends that both options are good but that I would choose conventional farming because it uses less natural resources than organic farming.,20
117,"I would tell my friend that they can purchase organic foods if they want because that is there decision. Although, I would tell them that there might not be as large as a difference between organic and conventional as they think.",15
118,organic because its better for your body and the environment ,20
119,Going organic is better for your body and the environment. ,20
120,Organic becuase now a days we are using way too many chemicals in food that we do not often know we are digesting and should not be eating. ,20
121,Organic because it is better for the environment and can create new jobs.,20
122,The best option is to choose organic foods every other time that you go shopping to find a balance between the two friends and their food choices,10
123,going organic is the best option,10
124,"I would tell my friends that I would eat organic, but I wouldn't want to pay the costs. If the roommate that wants to eat organic has the money to pay for it herself, then go for it. However, being in college I do not have the kind of money to be spending extra on organic foods.",15
125,"Personally, I would choose to not go organic and stay conventional.  Organic farming is a much less efficient way of farming overall.  Organic products are also much more expensive than non-organic foods, which to me, is not worth spending the extra money on.  ",20
126,I would tell my friends eating organic foods is the best option because it is better for the environment and better for your health.,20
127,Neither one seems to be better than the other so choose which you think is best. ,0
128,"I would choose to only eat organic because although it is more expensive, you know that everything that is going into your body is meant to be in it. There is no outside chemical that is entering your body that shouldn't be there.",20
129,"Organic, because I've read that chemicals and pesticides in non-organic foods can lead to cancer, including non-organic GMO crops.",20
130,"Organc is definitely the better chose because it contains less pesticides, maintains biodiversity and there are no chemicals.",25
131,"Conventional food is the best option right now because organic food has lower yields, is less efficient, and is more expensive. The world just can't afford the luxury these days.",25
132,"I would tell my friends that using the conventional option would be the best choice because it is more cost and energy efficient, plus it is better for the environment. ",25
133,regular foods because organic foods are not necessarily healthier and they still use pesticides ,20
134,i would tell my friends that organic is a better option for them because of the health benefactors involved with organic food. ,15
135,"I would tell my friends to eat organic foods in moderation. There is no need to eliminate all conventional foods, but some organic foods here and there would be okay. Locally grown produce is also a good alternative because you see where your money is going and who produced it. The main reason why I would choose organic is because it is more kind to animals. There are also no chemicals and less pesticides, so you know all the ingredients you are putting into your body, despite the higher cost. ",30
136,I would tell my friends organic is the best choice but I personally would not pick it.,10
137,I would tell my friends that organic farming is the better option. I believe this because less pesticides and chemicals are used on the field and less amount of energy has to be exerted to regulate and maintain the crops,25
138,"Organic, because they are better for the evironment",15
139,"I would ask our friends to agree on trying organic foods for a few weeks to see how we all like it. If our friends don't like organic food then we can split up the weekly grocery list into organic and non-organic and the person eating organic food would have to pay for their groceries and vice versa. However, I would stress the significance that there are no chemicals/pesticides used in organic food and it maintains biodiversity to see if we could persuade our friends to eat organically. ",25
140,To buy regular food because it gives you the same amount of energy per day. It also isn't as much money as organic food,20
141,organic because it is the healthiest choice as a consumer. Also it has the least negative effects on the environment. ,20
142,Organic foods are the better choice because it will be better for our environment and will be better for your body. ,20
143,Organic foods because they have no chemicals and fewer pesticides which can be very harmful.,20
144,Organic... same reasons why I do. Already stated.,10
145,Meat is meaat.,0
146,"I would  choose Conventional farming because the lines of where the food is made and what is in it is more clear and does not contain additive's.  I know that I am eating something natural and not made to be natural. I am also saving money by doing this. To create organic foods, there has to separate farms to care for animals like the cows who produce more waste for the environment. Buying organic does not help the environment. ",25
147,I would tell that organic is a better option in the long run. Organic food are locally grown from a reliable source where as grocery store food is sent to a factory to be sprayed with chemicals to add a better taste. In the long run people will pick the fresher tasting food over the chemical food. ,20
148,organic because it is overall better for you and is worth the money,20
149,I would tell them organic because it will benefit their health and provide the proteins their body needs.,20
150,"I would tell my friends that the best option is organic because it is the healthier alternative to conventional, if you are willing to spend the extra money.",20
151,I would tell my friends that the best option for them is conventional foods because they are less expensive. ,15
152,The best option is organic farming because it maintains biodiversity and does not use chemicals.,20
153,"I would tell my friends to choose the organic food in a perfect world, but not to if it would break the bank too much. I would also tell them to pick organic with fruits and vegetables that you eat the skins of because sometimes that could help. ",15
154,"I would tell my friend to go for it, its a good choice and I would even join my friend because anything organic is really good for you.",15
155,"Orgainic is the best option overall for your health, for animals, for the environment etc. ",25
156,going organic because it is less harmful for the environment,15
157,Organic because it is better for your health.,15
158,"I would tell my friend that if you can afford it, there are benefits to eating organic and some things may be more important to buy organic than others. ",15
159,To eat conventionally as a college student because it is cheaper,15
160,To just go with inorganic because it truly is not always the best decision,10
161,"Organic because although it is the more expensive option, it is beneficial to human health to eat things closest to the source and allow ourselves for healthier intakes.",20
162,I would tell my friend to go organic because although it is more expensive it will pay out in the end because of how much healthier it is for the body. ,20
163,I would say to go organic because it is better for your health.,15
164,"I would say organic because it is healthier, has less chemicals and has less pesticides.",25
165,Continuing to eat meat because it is good for you and you need to eat it in order to survive. ,0
166,"I would tell them to eat organic because it contains less pesticides and chemical, and it also maintains biodiversity.",25
167,I would tell my friend to eat meat because going meatless has to many cons that overweigh the pros.,0
168,"Organic is the best option because it involves no chemicals, less pesticides and maintains biodiversity",25
169,"Even though I do not partake in this, I believe purchasing organic foods to be the best option to maintain a healthier lifestyle. Not only is their less chemicals being used to produce the food compared to conventional foods, but organic farming helps fight global warming and support the health and welfare of plants and animals living off the foods that are in the soil.",25
170,Organic,10
171,Organic  because  it is overall better for your health. If you have the opportunity to eat organic you should. ,15
172,"Based on the videos, I will go with conventional food because it has a greater yield to feed everyone and it's less damaging to the environment. ",20
173,Organic food would probably be the better choice. It uses less pesticides which can kill some of the good bacteria. It is also better for the environment. They also can harbor more nutrients. ,25
174,"Organic, because it has a better upside, even though that it is more expensive it is better for the body.  Organic foods are also fresher and cleaner than regular processed foods because they are taken care of naturally.",20
175,I would tell them to eat conventional because it's cheaper and we are college students.,15
176,If you are looking at your long term health I would say organic is the better option because youre not consuming as many chemicals or pesticides as you would having non organic foods.,20
177,I would say that organic is the way to go. I say this because it is better for the environment because there are no chemicals used and pesticides aren't being used. Also organic farming promotes a sustainable environment. Organic farming reduces pollution as well. ,25
178,I would tell them to pick organic foods.The main reason I would tell them this is because of the harmful synthetic fertilizers that are used. If one is to be exposed to the fertilizer it can be reflected on their health negatively.,15
179,"I would say that Organic is the best option for one's personal health, due to the smaller amount of chemicals used in the foods and the more local farms. However it is not attainable for whole populations due to the amount of resources it uses that are already running low. ",25
180,One of the biggest problems currently is global warming. Conventional farming adds to this problem because it uses a lot more pesticides and tries to produce more goods faster. In order to avoid global warming from worsening I would tell my friends the best option is organic farming. This would also allow for more jobs to be created because more people are needed to weed or maintain the crops.,20
181,I would tell my friends that the best option is organic foods because they are free of pesticides and additives. They also also more easily sustained to adapt to our growing population while also being better for the environment ,20
182,"Based on what I heard in the video I would tell my friends to consume non-organic products because even though eating organic foods has a good reputation, it still has far more cons than non-organic.  Organic products are more expensive and yields less.  There is less control of minerals in soil, plus the fertilizer smells bad.  Also there are more insects due to less pesticides.  ",25
183,"Organic farming because of crop and livestock production that involves much more than choosing not to use pesticides, fertilizers, genetically modified organisms, antibiotics and growth hormones.",25
184,organic farming because it is less harmful for our environment,15
185,I would tell them to eat organic foods. Organic Foods are a better more natural choice of food for the body. Its more safe to eat and you know what you are consuming.,15
186,f,0
187,I believe that organic farming is the best option because although it requires more work it is way more healthy for people as well as the environment. The fruit and vegetables have no pesticides on them which increase the amount of bees in the area which is good. Also using cow Manure instead of chemicals is more natural and makes the product better. ,30
188,I would tell my friends to choose the organic methods. I feel the benefits gained from not eating foods with pesticides in them out way the few negative environmental factors organic farming has. Organic farming is the way the world works naturally without human intervention.,20
189,I would tell my friends about video two because it shows how organic products are good and bad.  This allows people not to choose sides and also gives good information on how not every organic product is fully 100% organic. ,10
190,I think organic farming is the better option because it is better for the enviornment and  improve the condition of soil ,20
191,To go with their gut and whatever feels right.,0
192,"I would tell my friends that organic is the best option because although it is labor intensive and timely, organic farming is much better and cleaner for the environment.",20
193,Organic farming is better because it does not have any chemicals and is better for the environment.,20
194,"Based off of these videos, I would say that the best option depends on your price point.  If you can afford to organic, it is better because it saves the environment.  If you have a low budget, I would recommend non orgainic because it is cheaper.",20
195,"I would tell the that organic farming is the best option because organic farming doesn't use chemical fertilizers, helps with water and soil conservation, and has high nutritional values.  ",25
196,"I would tell my friends that the non organic food is the best option. As the video explained, most non organic farmers are using most of the same organic chemicals that organic farmers are using they are just using the bare minimum of the other non organic chemicals to increase production and sustain their yields, meaning most of the non organic food isn't actually that bad for you for a way cheaper price. Also the organic farming is bad for the environment, and with the increase of released methane can also contribute to the increased rate of greenhouse gases which is even worse for us in the long run.",25
197,Organic is the best because it supports local farmers along with it reduces the intake of dangerous chemicals. ,20
198,Not to do it,0
199,"I think that organic farming is the best option because the products that are produced are better. They do not have chemicals on them, unlike non-organic products.",15
200,"I think non organic is the best option. Even though organic food is supposed to be better for our environment, organic food uses more land to grow than non organic food.",15
201,organic farming is the best option because the food youre eating will be free from artificial flavors/preservatives and will be natural which is healthier.,20
202,"I would tell them to be mindful of the types of organic farms that their foods come from, for instance be sure if they use pesticides that they are natural and not harmful. I would tell them to not neccessarily think that organic means great for the enviorment.",0
203,"I would tell my friend that the best option is, non organic food because although we assume organic food to always be better for us, there are many cons that come along with it. To begin, the yields from organic farming are far less than that of non organic, which than makes the price of organic food much more expensive. Also, organic dairy farm produce a lot more methane than non organic farms because of the diet of the cows. The cows waste products are detrimental to our environment. Lastly, farmers have less control of the minerals that are put into soil , and with this, there are more insects and bees that swarm the produce. ",25
204,Organic farming is the better option because it uses natural fertilizers instead of chemicals which contaminate the soil and atmosphere.  It also is much healthier for the actual plants being grown.,20
205,Organic options are the best because they are all natural for the body,10
206,Organic farming because chemicals aren't used so its a lot healthier ,15
207,I would tell my friends to choose organic food because it is the easiest for the body to digest and comes from all natural/ non- artificial sources. ,10
208,"To eat organic farm fresh foods instead of big corporation foods that have slaughterhouses etc. By doing this it will reduce our carbon footprint, be more animal friendly",20
209,I would tell a friend that the best food option is organic because they have more antioxidants and vitamins. These foods are also grown with less pesticides so they are safer and better for your health. ,20
210,I think going vegetarian is the best option. It harms the Earth less,0
211,"I would have to read more about it because I alway assumed organic farming was the best option, I do not know enough about organic farming. For instance I did not know different countries had different organic labels and that organic farming in some cases even contributes to global warming even though it increases biodiversity.  ",10
212,I would use organic farming because it doesn't use chemicals on our fresh fruits and vegetables which is healthier for humans. it also provides more jobs due to the work that has to be done to make it organic. ,20
213,"Conventional farming is the best option in the world we currently live in because if only organic farms were used fewer people would be able to be fed. Although organic farming is clearly the more health conscientious option, it is not reasonable to be able to sustain the number of people living on Earth today.",20
214,"After watching both videos, I can confidently say that organic and conventional farming both have their fair share of pros and cons. I think itâ€™s paramount that a balance is found. While organic farming may seem like the more environmentally friendly option, it produces a lower yield. If organic farming (which currently only makes up about 1% of farming in the world) were to replace conventional farming, a significantly larger amount of land would be required. I recognize that in todayâ€™s world, quantity often prevails over quality. In our fast-paced society, people love convenience. We are constantly looking to make things as efficient as possible. Our population has never been higher, and will only continue to grow. With that said it, it only makes sense that yield is one of the most important factors of modern farming. While globalizing organic farming is probably not a very realistic option, I certainly believe that organic farming should be a global influence. This means maintaining high levels of biodiversity and soil health. I am aware of the animal abuse that is commonplace in conventional farming. This treatment is appalling, unacceptable, and inhumane. I personally believe that treating animals with dignity and respect should be prioritized. If removing animals from dark, confined and unsanitary sheds damage yield, then so be it. While it can be easy to get up in the quest for ultimate efficiency, we canâ€™t forget about the moral/ ethical responsibilities we have as humans. To summarize, I think the most realistic option would be to continue on with conventional farming as the most dominant form of farming in the world. However, I in no way believe that the current state of conventional farming is the best it could be. Thereâ€™s plenty of room for improvement for the current treatment of the environment/ animals. Methods of sustainability need to become more widespread- not only in farming, but in all realms of this world.

",30
215,"I think organic is best because it isn't filled with all the chemicals, everything is naturally sourced.",15
216,"I would tell my friends to try and choose organic when they can, or every now and then. This is because while it is good for you, they still could be using pesticides and it also is taking longer and more space to grow the organic foods.",20
217,I think that Organic options are the best option. I think that it is better to include organic produce so the chemicals dont affect you so directly. I know that some foods such as bananas are okay to eat organic (because of that large peel). I think that if you don't choose organic you should be conscious about the non organic options.,15
218,I would tell my friends to try to eat organically as possible because it benefits both physical and mental health as well as the environment ,20
219,"Based on watching these two videos on organic farming, I would tell my friend that organic farming is by far the best way.  I believe this because organic farming is more than just getting rid of pesticides and hormones, taking care of each animal in the way that they properly need is very important.  Raising animals to be in a comfortable environment helps them grow to be healthy, which is actually better when it comes to eating meats.  These animals who are raised on organic farms are the best kinds of meat because they won't be as tough.  ",25
220,i would tell them that organic foods are better because they don't contain chemicals of preservatives and are better for the environment.,15
221,"I would tell my friends to eat organic. This is because although it dissent give many more health benefits than non organic, it is a bit safer because it contains no chemicals.",20
222,"I think that a drastic decision either for ALL organic or ALL conventional farming is neither good for the environment or good for the human population. I believe that a balance is in order. There are positives an negatives of both conventional and organic farming, so instead of choosing the best of two evils I think that we should do half and half. ",5
223,"I would say for a personal perspective, organic farming is the better option just because it is more natural, but when you look at the grand scheme of things, conventional farming would be better to feed everyone because of the higher yields.",20
